[19:12:45] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] START mode=baseline-repeat person=Owen Valencia width=0.612 height=1.989 step=0.6 target=BlockPos{x=131, y=6, z=131} door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] pack={minecraft:cobblestone=25, minecraft:dirt=112, minecraft:oak_log=20}
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=640 pos=(128.69400000572205, 5.764851015141681, 131.50068994638497) velocity=(0.0, -0.30431682745754424, -5.266814848220102E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=680 pos=(128.69400000572205, 5.764851015141681, 131.50047053961237) velocity=(0.0, -0.30431682745754424, -3.830410877985632E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=720 pos=(128.69400000572205, 5.764851015141681, 131.5003268991986) velocity=(0.0, -0.30431682745754424, -2.3940070530980186E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=1 pathCount=3
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=760 pos=(128.69400000572205, 5.764851015141681, 131.50021167116944) velocity=(0.0, -0.30431682745754424, -1.9152055843396723E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=1 pathCount=3
[19:12:47] [Server thread/DEBUG] [co.qu.ki.Kithkyn/]: Owen Valencia cannot reach gathering to build at 131, 6, 131 and is standing down
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=800 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=840 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=880 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:48] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=920 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:48] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=960 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:48] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1000 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:48] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1040 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:48] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1080 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:48] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1120 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:48] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1160 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:48] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1200 pos=(128.69400000572205, 5.0, 131.50020535730502) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:48] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] RESULT FAIL mode=baseline-repeat ticks=1200 progress=GATHERING position=(128.69400000572205, 5.0, 131.50020535730502)
