[19:10:29] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] START mode=baseline person=Owen Valencia width=0.612 height=1.989 step=0.6 target=BlockPos{x=131, y=6, z=131} door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] pack={minecraft:dirt=112, minecraft:cobblestone=25, minecraft:oak_log=20}
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=400 pos=(128.69400000572205, 5.0, 131.37456215924743) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=440 pos=(128.69400000572205, 5.0, 131.51029531027692) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=480 pos=(128.69400000572205, 5.0, 131.5056368338753) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=520 pos=(128.69400000572205, 5.0, 131.50307763102634) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=560 pos=(128.69400000572205, 5.0, 131.50214318101908) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=600 pos=(128.69400000572205, 6.229010390097126, 131.50129712396947) velocity=(0.0, -0.0784000015258789, -9.57602239851782E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=1 pathCount=3
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=640 pos=(128.69400000572205, 5.764851015141681, 131.50087725213226) velocity=(0.0, -0.30431682745754424, -6.703217946373434E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=680 pos=(128.69400000572205, 5.764851015141681, 131.50059312826903) velocity=(0.0, -0.30431682745754424, -4.788013524808612E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=720 pos=(128.69400000572205, 5.764851015141681, 131.50039897695035) velocity=(0.0, -0.30431682745754424, -3.351609554574142E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=760 pos=(128.69400000572205, 5.764851015141681, 131.5002569150024) velocity=(0.0, -0.30431682745754424, -2.3940070530980186E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=1 pathCount=3
[19:10:31] [Server thread/DEBUG] [co.qu.ki.Kithkyn/]: Owen Valencia cannot reach gathering to build at 131, 6, 131 and is standing down
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=800 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=840 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=880 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=920 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=960 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:32] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1000 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:32] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1040 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:32] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1080 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:32] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1120 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:32] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1160 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:32] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1200 pos=(128.69400000572205, 5.0, 131.50019851175568) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:32] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] RESULT FAIL mode=baseline ticks=1200 progress=GATHERING position=(128.69400000572205, 5.0, 131.50019851175568)
